realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,2008-04-09,324.4916
2019-12-23,2019-12-23,2008-04-16,333.2359
2019-12-23,2019-12-23,2008-04-23,331.2047
2019-12-23,2019-12-23,2008-04-30,330.9233
2019-12-23,2019-12-23,2008-05-07,330.9378
2019-12-23,2019-12-23,2008-05-14,331.0731
2019-12-23,2019-12-23,2008-05-21,328.9789
2019-12-23,2019-12-23,2008-05-28,330.0106
2019-12-23,2019-12-23,2008-06-04,327.8792
2019-12-23,2019-12-23,2008-06-11,327.777
2019-12-23,2019-12-23,2008-06-18,332.6354
2019-12-23,2019-12-23,2008-06-25,332.1688
2019-12-23,2019-12-23,2008-07-02,328.9086
2019-12-23,2019-12-23,2008-07-09,329.2376
2019-12-23,2019-12-23,2008-07-16,335.5519
2019-12-23,2019-12-23,2008-07-23,336.4024
2019-12-23,2019-12-23,2008-07-30,337.8898
2019-12-23,2019-12-23,2008-08-06,337.265
2019-12-23,2019-12-23,2008-08-13,337.2957
2019-12-23,2019-12-23,2008-08-20,343.0033
2019-12-23,2019-12-23,2008-08-27,343.8232
2019-12-23,2019-12-23,2008-09-03,342.3659
2019-12-23,2019-12-23,2008-09-10,342.0704
2019-12-23,2019-12-23,2008-09-17,346.6905
2019-12-23,2019-12-23,2008-09-24,348.4313
2019-12-23,2019-12-23,2008-10-01,365.7086
2019-12-23,2019-12-23,2008-10-08,366.3449
2019-12-23,2019-12-23,2008-10-15,374.3484
2019-12-23,2019-12-23,2008-10-22,374.7651
2019-12-23,2019-12-23,2008-10-29,378.1124
2019-12-23,2019-12-23,2008-11-05,378.0324
2019-12-23,2019-12-23,2008-11-12,380.3075
2019-12-23,2019-12-23,2008-11-19,385.0775
2019-12-23,2019-12-23,2008-11-26,383.0742
2019-12-23,2019-12-23,2008-12-03,382.7931
2019-12-23,2019-12-23,2008-12-10,382.2004
2019-12-23,2019-12-23,2008-12-17,386.9849
2019-12-23,2019-12-23,2008-12-24,386.3784
2019-12-23,2019-12-23,2008-12-31,383.8606
2019-12-23,2019-12-23,2009-01-07,386.2094
2019-12-23,2019-12-23,2009-01-14,396.4576
2019-12-23,2019-12-23,2009-01-21,400.0375
2019-12-23,2019-12-23,2009-01-28,393.9663
2019-12-23,2019-12-23,2009-02-04,393.9689
2019-12-23,2019-12-23,2009-02-11,393.8222
2019-12-23,2019-12-23,2009-02-18,399.4344
2019-12-23,2019-12-23,2009-02-25,398.0023
2019-12-23,2019-12-23,2009-03-04,392.1435
2019-12-23,2019-12-23,2009-03-11,393.2738
2019-12-23,2019-12-23,2009-03-18,385.531
2019-12-23,2019-12-23,2009-03-25,375.9435
2019-12-23,2019-12-23,2009-04-01,369.8621
2019-12-23,2019-12-23,2009-04-08,371.143
2019-12-23,2019-12-23,2009-04-15,375.8168
2019-12-23,2019-12-23,2009-04-22,372.7825
2019-12-23,2019-12-23,2009-04-29,374.0813
2019-12-23,2019-12-23,2009-05-06,365.4608
2019-12-23,2019-12-23,2009-05-13,357.4172
2019-12-23,2019-12-23,2009-05-20,366.6295
2019-12-23,2019-12-23,2009-05-27,368.9842
2019-12-23,2019-12-23,2009-06-03,362.6704
2019-12-23,2019-12-23,2009-06-10,358.1294
2019-12-23,2019-12-23,2009-06-17,357.4135
2019-12-23,2019-12-23,2009-06-24,357.513
2019-12-23,2019-12-23,2009-07-01,355.8685
2019-12-23,2019-12-23,2009-07-08,354.6264
2019-12-23,2019-12-23,2009-07-15,355.8119
2019-12-23,2019-12-23,2009-07-22,358.8145
2019-12-23,2019-12-23,2009-07-29,357.4623
2019-12-23,2019-12-23,2009-08-05,352.7477
2019-12-23,2019-12-23,2009-08-12,353.9483
2019-12-23,2019-12-23,2009-08-19,357.8751
2019-12-23,2019-12-23,2009-08-26,357.7582
2019-12-23,2019-12-23,2009-09-02,350.5161
2019-12-23,2019-12-23,2009-09-09,354.6716
2019-12-23,2019-12-23,2009-09-16,355.4572
2019-12-23,2019-12-23,2009-09-23,351.2771
2019-12-23,2019-12-23,2009-09-30,343.5019
2019-12-23,2019-12-23,2009-10-07,344.3943
2019-12-23,2019-12-23,2009-10-14,344.1868
2019-12-23,2019-12-23,2009-10-21,347.8548
2019-12-23,2019-12-23,2009-10-28,347.0754
2019-12-23,2019-12-23,2009-11-04,342.9505
2019-12-23,2019-12-23,2009-11-11,341.9792
2019-12-23,2019-12-23,2009-11-18,345.999
2019-12-23,2019-12-23,2009-11-25,346.1734
2019-12-23,2019-12-23,2009-12-02,340.3519
2019-12-23,2019-12-23,2009-12-09,339.2817
2019-12-23,2019-12-23,2009-12-16,338.6012
2019-12-23,2019-12-23,2009-12-23,333.8129
2019-12-23,2019-12-23,2009-12-30,332.7878
2019-12-23,2019-12-23,2010-01-06,326.659
